,slug,resort_name,state,base_elevation,base_public_lift_elevation,peak_public_lift_elevation,peak_elevation,max_lift_served_run_vert,advertised_acres,skiable_acres,public_skiable_acres,public_lift_served_skiable_acres,public_boundary_area,region
101,brian-head,Brian Head,Utah,9600.0,9600.0,10905,10905,1145.0,650.0,650,650,650,740,Rockies
102,eaglecrest,Eaglecrest,Alaska,1135.0,1135.0,2595,2940,1415.0,640.0,640,640,420,690,Pacific
103,mount-shasta,Mount Shasta,California,5465.0,5465.0,7550,7550,2085.0,635.0,635,635,635,670,Pacific
104,arizona-snowbowl,Arizona Snowbowl,Arizona,9140.0,9140.0,11510,12000,2370.0,777.0,620,620,560,620,Rockies
105,eagle-point,Eagle Point,Utah,9180.0,9325.0,10570,10570,1245.0,600.0,620,620,600,620,Rockies
106,eldora,Eldora,Colorado,9250.0,9250.0,10600,10600,1350.0,680.0,615,615,615,615,Rockies
107,blacktail-mountain,Blacktail Mountain,Montana,5240.0,5240.0,6660,6660,1420.0,1000.0,600,600,600,600,Rockies
108,saddleback,Saddleback,Maine,2140.0,2140.0,4000,4000,1860.0,600.0,600,600,600,800,Northeast
109,cypress-mountain,Cypress Mountain,British Columbia,2685.0,2685.0,4670,4670,1655.0,600.0,600,600,600,600,Western Canada
110,mount-snow,Mount Snow,Vermont,1930.0,1930.0,3590,3590,1660.0,600.0,600,600,600,1200,Northeast
111,mount-baldy,Mount Baldy,British Columbia,5650.0,5650.0,6950,6950,1300.0,600.0,600,600,600,700,Western Canada
112,sugarbush,Sugarbush,Vermont,1500.0,1500.0,4060,4060,2560.0,581.0,581,581,581,2350,Northeast
113,ski-santa-fe,Ski Santa Fe,New Mexico,10340.0,10340.0,12090,12090,1750.0,660.0,580,580,490,580,Rockies
114,angel-fire,Angel Fire,New Mexico,8585.0,8585.0,10680,10794,2095.0,560.0,560,560,500,1280,Rockies
115,willamette-pass,Willamette Pass,Oregon,5115.0,5115.0,6684,6684,1569.0,555.0,555,555,555,555,Pacific
